분류,세분류,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,
분류,세분류,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,사례수,친구,배우자/파트너,자녀,그외 가족/친지,직장동료,부모님,"가족, 친지","친구, 연인",기타,
월별,10월,,44.7,28.9,9.9,13.1,11.7,10.1,,,1.1,,40.6,27,8.6,13.8,16.8,8.8,,,1.4,,,,,,14,,48.8,39.3,0.3,,,,,,14.6,,48.5,37.6,0.9,810,,,,,19,,40.5,42.7,0.8,830,,,,,11.8,,44.6,45.3,0.1,931,,,,,20.8,,48,33.2,0.2,881,,,,,21.9,,41.5,43.6,0,
월별,11월,,45.2,28,11,13.8,14,7.1,,,0.6,,43.1,29.2,11.4,11.4,12.5,9.1,,,0.9,,,,,,15.5,,46.8,39,0.4,,,,,,13.1,,48.9,38.7,0.5,720,,,,,16.1,,40.3,44.7,0.5,678,,,,,11.8,,48.8,41.4,0,757,,,,,14.7,,44,45.2,0,714,,,,,16.2,,44.9,43,0,
월별,12월,,45.6,26.5,12.1,13.6,13,9.6,,,0.5,,46.8,28.2,13.3,12.2,11.4,8.1,,,0.2,,,,,,12.1,,46.7,41.5,0.5,,,,,,12.5,,51.3,37.4,0.3,778,,,,,8.9,,50.5,43,0.5,671,,,,,10.5,,44,48.2,0,750,,,,,11.8,,46.2,44.1,0,723,,,,,10.1,,47.9,46.1,0,
분기별,1분기,,42.2,27.7,14.5,11.9,12.4,8.2,,,0.9,,36,23.8,13,16.4,14.4,12.9,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분기별,2분기,,44.8,27.9,12.2,13,11.9,8.5,,,0.8,,37.1,25,12.1,15.3,16.1,10.1,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분기별,3분기,,39.8,26.2,18.3,13.3,12.5,11.1,,,0.9,,39.9,26.4,19.4,12.9,12.7,9.4,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분기별,4분기,,45.1,28,10.9,13.5,12.8,9,,,0.8,,43.2,28.1,10.9,12.5,13.8,8.7,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국가,일본,,65.1,13.2,7.1,8.6,6.1,8,,,0.5,,55.9,16.5,9.4,11.5,7.3,9.5,,,1.1,,,,,,13.3,,39.1,48.1,0.2,,,,,,11.8,,44.7,44,0.3,1878,,,,,13.5,,37.3,50.2,0.7,1208,,,,,13.5,,52.5,35,0,1284,,,,,17.3,,33.6,50.3,0,1477,,,,,16.7,,35.4,50.1,0.3,
국가,중국,,45.7,25.5,18.5,7.1,11,5.9,,,0.7,,47.2,25.5,19.5,5.2,11.1,3.6,,,0.8,,,,,,14.8,,40,46,1.3,,,,,,11.6,,42.7,47.8,0.2,2870,,,,,11,,36.7,53.4,0.2,4965,,,,,10.1,,48.9,43.5,0.3,4890,,,,,13.6,,47.1,41.8,0.1,4870,,,,,11.1,,45.7,47.6,0,
국가,홍콩,,37.1,37.6,17.2,13.8,3.7,12.7,,,0.7,,34.3,31.4,16.6,16.3,8.2,15.3,,,1.5,,,,,,5.2,,64.9,30.6,0.4,,,,,,5.9,,60.2,35.3,0.1,598,,,,,4.9,,55.8,42.1,0.2,434,,,,,3.2,,45.7,54.5,0,481,,,,,5.8,,58.9,39.2,0.4,461,,,,,9.4,,55.1,38.8,0.6,
